FMS_STATION,FMS_STATION_NAME,FMS_COST_CENTER,FMS_COST_CENTER_NAME,IFAMS_PARTITION,IFAMS_DIVISION_CODE,IFAMS_DIVISION_CODE_NAME,IFAMS_INTERNAL_ORG_CODE,IFAMS_INTERNAL_ORG_CODE_NAME,IFAMS_LOCATION_CODE,IFAMS_LOCATION_CODE_NAME,LOAD_DATE
824,WOODLAWN NATL CEMETERY    VANC,Any,Any,NCA,C0803000,Bath National Cemetery,C08240000,Woodlawn National Cemetery,149011061-00,1825 Davis St,
825,ALEXANDRIA NATL CEMETERY  VANC,Any,Any,NCA,C0870000,Port Hudson National Cemetery,C08250000,Alexandria National Cemetery,713606553-00,209 East Shamrock Street,
826,ALEXANDRIA NATL CEMETERY  VANC,Any,Any,NCA,C0872000,Quantico National Cemetery,C08260000,Alexandria National Cemetery,223143424-00,1450 Wilkes St,
827,BALLS BLUFF NATL CEM      VANC,Any,Any,NCA,C0839000,Culpeper National Cemetery,C08270000,Balls Bluff National Cemetery,201750178-00,Route 7,
828,BARRANCAS NATL CEMETERY   VANC,Any,Any,NCA,C0828000,Barrancas National Cemetery,C08280000,Barrancas National Cemetery,325087014-00,"Naval Air Station, 1 Cemetary Rd",
829,BATON ROUGE NATL CEM      VANC,Any,Any,NCA,C0870000,Port Hudson National Cemetery,C08290000,Baton Rouge National Cemetery,708063634-00,220 N 19th St,
830,BAY PINES NATL CEMETERY   VANC,Any,Any,NCA,C0911000,Florida National Cemetery,C08300000,Bay Pines National Cemetery,337448200-00,10000 Bay Pines Blvd North,
831,BEAUFORT NATL CEMETERY    VANC,Any,Any,NCA,C0930000,Fort Jackson National Cemetery,C08310000,Beaufort National Cemetery,299023947-00,1601 Boundary St,
832,BILOXI NATL CEMETERY      VANC,Any,Any,NCA,C0832000,Biloxi National Cemetery,C08320000,Biloxi National Cemetery,395312410-00,400 Veterans Ave Bldg 1001,
833,CAMP NELSON NATL CEM      VANC,Any,Any,NCA,C0833000,Camp Nelson National Cemetery,C08330000,Camp Nelson National Cemetery,403569594-00,6980 Danville Rd,
834,CAVE HILL NATL CEMETERY   VANC,Any,Any,NCA,C0833000,Camp Nelson National Cemetery,C08340000,Cave Hill National Cemetery,402041726-00,701 Baxter Ave,
835,CHATTANOOGA NATL CEM      VANC,Any,Any,NCA,C0835000,Chattanooga National Cemetery,C08350000,Chattanooga National Cemetery,374042805-00,1200 Bailey Ave,
836,CITY POINT NATL CEMETERY  VANC,Any,Any,NCA,C0849000,Hampton National Cemetery,C08360000,City Point National Cemetery,238600000-00,10th Ave & Davis St,
837,COLD HARBOR NATL CEM      VANC,Any,Any,NCA,C0849000,Hampton National Cemetery,C08370000,Cold Harbor National Cemetery,231116925-00,6038 Cold Harbor Blvd,
838,CORINTH NATL CEMETERY     VANC,Any,Any,NCA,C0860000,Memphis National Cemetery,C08380000,Corinth National Cemetery,388345842-00,1551 Horton St,
839,CULPEPER NATL CEMETERY    VANC,Any,Any,NCA,C0839000,Culpeper National Cemetery,C08390000,Culpeper National Cemetery,227013141-00,305 US Ave,
840,DANVILLE NATL CEMETERY    VANC,Any,Any,NCA,C0833000,Camp Nelson National Cemetery,C08400000,Danville National Cemetery,404220000-00,277 N 1st St,
841,DANVILLE NATL CEMETERY    VANC,Any,Any,NCA,C0876000,Salisbury National Cemetery,C08410000,Danville National Cemetery,245412119-00,721 Lee St,
842,FAYETTEVILLE NATL CEM     VANC,Any,Any,NCA,C0842000,Fayetteville National Cemetery,C08420000,Fayetteville National Cemetery,727016456-00,700 Government Ave,
843,FLORENCE NATL CEMETERY    VANC,Any,Any,NCA,C0843000,Florence National Cemetery,C08430000,Florence National Cemetery,295063232-00,803 E National Cemetery Rd,
844,FORT GIBSON NATL CEM      VANC,Any,Any,NCA,C0844000,Fort Gibson National Cemetery,C08440000,Fort Gibson National Cemetery,744348106-00,1423 Cemetery Rd,
845,FORT HARRISON NATL CEM    VANC,Any,Any,NCA,C0849000,Hampton National Cemetery,C08450000,Fort Harrison National Cemetery,232318246-00,8620 Varina Rd,
846,FT. SAM HOUSTON NATL CEM  VANC,Any,Any,NCA,C0846000,Fort Sam Houston National Cemetery,C08460000,Fort Sam Houston National Cemetery,782096002-00,1520 Harry Wurzbach Rd,
847,FORT SMITH NATL CEMETERY  VANC,Any,Any,NCA,C0847000,Fort Smith National Cemetery,C08470000,Fort Smith National Cemetery,729010000-00,522 Garland Avenue and South 6th St,
848,GLENDALE NATL CEMETERY    VANC,Any,Any,NCA,C0849000,Hampton National Cemetery,C08480000,Glendale National Cemetery,232317908-00,8301 Willis Church Rd,
849,HAMPTON NATL CEMETERY     VANC,Any,Any,NCA,C0849000,Hampton National Cemetery,C08490000,Hampton National Cemetery (VAMC),236690000-00,Cemetery Rd & Marshall Ave,
850,HAMPTON NATL CEMETERY     VANC,Any,Any,NCA,C0849000,Hampton National Cemetery,C08500000,Hampton National Cemetery,236670000-00,VAMC - Emancipation Dr,
851,HOUSTON NATL CEMETERY     VANC,Any,Any,NCA,C0851000,Houston National Cemetery,C08510000,Houston National Cemetery,770381502-00,10410 Veterans Memorial,
852,JEFFERSON BARRACKS NC     VANC,Any,Any,NCA,C0852000,Jefferson Barracks National Cemetery,C08520000,Jefferson Barracks National Cemetery,631254166-00,2900 Sheridan Rd,
853,JEFFERSON CITY NATL CEM   VANC,Any,Any,NCA,C0852000,Jefferson Barracks National Cemetery,C08530000,Jefferson City National Cemetery,651014808-00,1024 E McCarty St,
854,KERRVILLE NATL CEMETERY   VANC,Any,Any,NCA,C0846000,Fort Sam Houston National Cemetery,C08540000,Kerrville National Cemetery,780285799-00,VAMC - 3600 Memorial Blvd,
855,KNOXVILLE NATL CEMETERY   VANC,Any,Any,NCA,C0864000,Mountain Home National Cemetery,C08550000,Knoxville National Cemetery,379177143-00,939 Tyson St NW,
856,LEBANON NATIONAL CEM      VANC,Any,Any,NCA,C0833000,Camp Nelson National Cemetery,C08560000,Lebanon National Cemetery,400339418-00,20 Highway 208,
857,LEXINGTON NATL CEMETERY   VANC,Any,Any,NCA,C0833000,Camp Nelson National Cemetery,C08570000,Lexington National Cemetery,405082021-00,833 W Main St,
858,LITTLE ROCK NATL CEM      VANC,Any,Any,NCA,C0847000,Fort Smith National Cemetery,C08580000,Little Rock National Cemetery,722062404-00,2523 Springer Blvd,
859,MARIETTA NATL CEMETERY    VANC,Any,Any,NCA,C0922000,Georgia National Cemetery,C08590000,Marietta National Cemetery,300602102-00,500 Washington Ave,
860,MEMPHIS NATL CEMETERY     VANC,Any,Any,NCA,C0860000,Memphis National Cemetery,C08600000,Memphis National Cemetery,381221200-00,3568 Townes Ave,
861,MILL SPRINGS NATL CEM     VANC,Any,Any,NCA,C0833000,Camp Nelson National Cemetery,C08610000,Mill Springs National Cemetery,425440000-00,9044 W Highway 80,
862,MOBILE NATL CEMETERY      VANC,Any,Any,NCA,C0828000,Barrancas National Cemetery,C08620000,Mobile National Cemetery,366042366-00,1202 Virginia St,
863,MOUND CITY NATL CEMETERY  VANC,Any,Any,NCA,C0852000,Jefferson Barracks National Cemetery,C08630000,Mound City National Cemetery,629630000-00,141 State Highway 37,
864,MOUNTAIN HOME NATL CEM    VANC,Any,Any,NCA,C0864000,Mountain Home National Cemetery,C08640000,Mountain Home National Cemetery,376843006-00,"53 Memorial Ave, Bldg 117",
865,NASHVILLE NATL CEMETERY   VANC,Any,Any,NCA,C0835000,Chattanooga National Cemetery,C08650000,Nashville National Cemetery,371154619-00,1420 Gallatin Rd S,
866,NATCHEZ NATL CEMETERY     VANC,Any,Any,NCA,C0870000,Port Hudson National Cemetery,C08660000,Natchez National Cemetery,391202027-00,41 Cemetery Rd,
867,NEW ALBANY NATL CEMETERY  VANC,Any,Any,NCA,C0833000,Camp Nelson National Cemetery,C08670000,New Albany National Cemetery,471501749-00,1943 Ekin Ave,
868,NEW BERN NATL CEMETERY    VANC,Any,Any,NCA,C0876000,Salisbury National Cemetery,C08680000,New Bern National Cemetery,285603023-00,1711 National Ave,
870,PORT HUDSTON NATL CEM     VANC,Any,Any,NCA,C0870000,Port Hudson National Cemetery,C08700000,Port Hudson National Cemetery,707916722-00,20978 Port Hickey Rd,
871,PUERTO RICO NATL CEM      VANC,Any,Any,NCA,C0871000,Puerto Rico National Cemetery,C08710000,Puerto Rico National Cemetery,009613887-00,50 Avenida Cemeterio Nacional,
872,QUANTICO NATL CEMETERY    VANC,Any,Any,NCA,C0872000,Quantico National Cemetery,C08720000,Quantico National Cemetery,221721636-00,18424 Joplin Rd,
873,RALEIGH NATL CEMETERY     VANC,Any,Any,NCA,C0876000,Salisbury National Cemetery,C08730000,Raleigh National Cemetery,276103353-00,501 Rock Quarry Rd,
874,RICHMOND NATL CEMETERY    VANC,Any,Any,NCA,C0849000,Hampton National Cemetery,C08740000,Richmond National Cemetery,232313427-00,1701 Williamsburg Rd,
875,ST AUGUSTINE NATL CEM     VANC,Any,Any,NCA,C0928000,Jacksonville National Cemetery,C08750000,St Augustine National Cemetery,320845004-00,104 Marine St,
876,SALISBURY NATL CEMETERY   VANC,Any,Any,NCA,C0876000,Salisbury National Cemetery,C08760000,Salisbury National Cemetery,281442319-00,501 Statesville Blvd,
877,SAN ANTONIO NATL CEM      VANC,Any,Any,NCA,C0846000,Fort Sam Houston National Cemetery,C08770000,San Antonio National Cemetery,782020000-00,517 Paso Hondo Street,
878,SEVEN PINES NATL CEM      VANC,Any,Any,NCA,C0849000,Hampton National Cemetery,C08780000,Seven Pines National Cemetery,231501641-00,400 E Williamsburg Rd,
879,SPRINGFIELD NATL CEM      VANC,Any,Any,NCA,C0852000,Jefferson Barracks National Cemetery,C08790000,Springfield National Cemetery,658042438-00,1702 E Seminole St,
880,STAUNTON NATL CEMETERY    VANC,Any,Any,NCA,C0839000,Culpeper National Cemetery,C08800000,Staunton National Cemetery,244014902-00,901 Richmond Ave,
881,WILMINGTON NATL CEMETERY  VANC,Any,Any,NCA,C0876000,Salisbury National Cemetery,C08810000,Wilmington National Cemetery,284031017-00,2011 Market St,
882,WINCHESTER NATL CEMETERY  VANC,Any,Any,NCA,C0839000,Culpeper National Cemetery,C08820000,Winchester National Cemetery,226015210-00,401 National Ave,
883,ZACHARY TAYLOR NATL CEM   VANC,Any,Any,NCA,C0833000,Camp Nelson National Cemetery,C08830000,Zachary Taylor National Cemetery,402071746-00,4701 Brownsboro Rd,
884,BLACK HILLS NATL CEM      VANC,Any,Any,NCA,C0884000,Black Hills National Cemetery,C08840000,Black Hills National Cemetery,577858947-00, 20901 Pleasant Valley Dr,
885,FORT BAYARD NATL CEM      VANC,Any,Any,NCA,C0904000,Santa Fe National Cemetery,C08850000,Fort Bayard National Cemetery,880360000-00,200 Camino De Paz,
886,FORT BLISS NATL CEMETERY  VANC,Any,Any,NCA,C0886000,Fort Bliss National Cemetery,C08860000,Fort Bliss National Cemetery,799060000-00,5200 Fred Wilson Ave,
887,FT LEAVENWORTH NATL CEM   VANC,Any,Any,NCA,C0897000,Leavenworth National Cemetery,C08870000,Fort Leavenworth National Cemetery,660272307-00,395 Biddle Blvd,
888,FORT LOGAN NATL CEMETERY  VANC,Any,Any,NCA,C0888000,Fort Logan National Cemetery,C08880000,Fort Logan National Cemetery,802363000-00,4400 W Kenyon Ave,
889,FORT LYON NATL CEMETERY   VANC,Any,Any,NCA,C0888000,Fort Logan National Cemetery,C08890000,Fort Lyon National Cemetery,810389426-00,15700 County Rd HH,
890,FORT MCPHERSON NATL CEM   VANC,Any,Any,NCA,C0890000,Fort McPherson National Cemetery,C08900000,Fort McPherson National Cemetery,691511031-00,12004 S Spur 56A,
891,FORT MEADE NATL CEMETERY  VANC,Any,Any,NCA,C0884000,Black Hills National Cemetery,C08910000,Fort Meade National Cemetery,577850000-00,Old Stone Rd,
892,FORT ROSECRANS NATL CEM   VANC,Any,Any,NCA,C0892000,Fort Rosecrans National Cemetery,C08920000,Fort Rosecrans National Cemetery,921063601-00,Cabrillo Memorial Dr,
893,FORT SCOTT NATL CEMETERY  VANC,Any,Any,NCA,C0897000,Leavenworth National Cemetery,C08930000,Fort Scott National Cemetery,667012954-00,900 E National Ave,
894,FORT SNELLING NATL CEM    VANC,Any,Any,NCA,C0894000,Fort Snelling National Cemetery,C08940000,Fort Snelling National Cemetery,554501105-00,7601 34th Ave S,
895,GOLDEN GATE NATL CEM      VANC,Any,Any,NCA,C0895000,Golden Gate National Cemetery,C08950000,Golden Gate National Cemetery,940662006-00,1300 Sneath Ln,
896,HOT SPRINGS NATL CEM      VANC,Any,Any,NCA,C0884000,Black Hills National Cemetery,C08960000,Hot Springs National Cemetery,577471480-00,"VA Medical Center, 500 N. 5th St.",
897,LEAVENWORTH NATL CEM      VANC,Any,Any,NCA,C0897000,Leavenworth National Cemetery,C08970000,Leavenworth National Cemetery,660485501-00,150 Muncie Road,
898,LOS ANGELES NATL CEM      VANC,Any,Any,NCA,C0898000,Los Angeles National Cemetery,C08980000,Los Angeles National Cemetery,900493456-00,950 S Sepulveda Blvd,
899,NATL MEM CEM-PACIFIC HI   VANC,Any,Any,NCA,C0899000,National Memorial Cemetery of the Pacific,C08990000,National Memorial Cemetery of the Pacific,968131729-00,2177 Puowaina Dr,
900,PRESCOTT NATL CEMETERY    VANC,Any,Any,NCA,C0914000,National Memorial Cemetery of Arizona,C09000000,Prescott National Cemetery,863135001-00,500 Highway 89 N,
901,RIVERSIDE NATL CEMETERY   VANC,Any,Any,NCA,C0901000,Riverside National Cemetery,C09010000,Riverside National Cemetery,925182740-00,22495 Van Buren Blvd,
902,ROSEBURG NATL CEMETERY    VANC,Any,Any,NCA,C0906000,Eagle Point National Cemetery,C09020000,Roseburg National Cemetery,974716523-00,913 Garden Valley Blvd - VAMC,
903,SAN FRANCISCO NATL CEM    VANC,Any,Any,NCA,C0895000,Golden Gate National Cemetery,C09030000,San Francisco National Cemetery,941290000-00,1 Lincoln Blvd,
904,SANTA FE NATL CEMETERY    VANC,Any,Any,NCA,C0904000,Santa Fe National Cemetery,C09040000,Santa Fe National Cemetery,875011455-00,501 N Guadalupe St,
905,SITKA NATL CEMETERY       VANC,Any,Any,NCA,C0910000,Fort Richardson National Cemetery,C09050000,Sitka National Cemetery,998357455-00,803 Sawmill Creek Rd,
906,EAGLE POINT NATL CEM      VANC,Any,Any,NCA,C0906000,Eagle Point National Cemetery,C09060000,Eagle Point National Cemetery,975246543-00,2763 Riley Rd,
907,WILLAMETTE NATL CEMETERY  VANC,Any,Any,NCA,C0907000,Willamette National Cemetery,C09070000,Willamette National Cemetery,970866937-00,11800 SE Mt Scott Blvd,
908,FT MITCHELL NATL CEM      VANC,Any,Any,NCA,C0927000,Alabama National Cemetery,C09080000,Fort Mitchell National Cemetery,368564403-00,553 Highway 165,
909,FT CUSTER NATL CEMETERY   VANC,Any,Any,NCA,C0909000,Fort Custer National Cemetery,C09090000,Fort Custer National Cemetery,490120000-00,15501 Dickman Rd,
910,FT RICHARDSON NATL CEM    VANC,Any,Any,NCA,C0910000,Fort Richardson National Cemetery,C09100000,Fort Richardson National Cemetery,995057000-00,"Bldg 58-512, Davis Hwy",
911,FLORIDA NATL CEMETERY     VANC,Any,Any,NCA,C0911000,Florida National Cemetery,C09110000,Florida National Cemetery,335138914-00,6502 SW 102nd Ave,
912,WEST VIRGINIA NATL CEM    VANC,Any,Any,NCA,C0912000,West Virginia National Cemetery,C09120000,West Virginia National Cemetery,263547431-00,42 Veterans Memorial Lane,
913,SAN JOAQUIN VALLEY N CEM  VANC,Any,Any,NCA,C0913000,San Joaquin Valley National Cemetery,C09130000,San Joaquin Valley National Cemetery,953229749-00,32053 W McCabe Rd,
914,NATL MEM CEM OF ARIZONA   VANC,Any,Any,NCA,C0914000,National Memorial Cemetery of Arizona,C09140000,National Memorial Cemetery of Arizona,850247500-00,23029 N Cave Creek Rd,
915,ABRAHAM LINCOLN NATL CEMETERY,Any,Any,NCA,C0915000,Abraham Lincoln National Cemetery,C09150000,Abraham Lincoln National Cemetery,604219309-00,20953 W Hoff Rd,
916,DALLAS/FT WORTH NATL CEM  VANC,Any,Any,NCA,C0916000,Dallas/Fort Worth National Cemetery,C09160000,Dallas/Fort Worth National Cemetery,752116702-00,2000 Mountain Creek Pkwy,
917,GBH SOLOMON SARATOGA NC   VANC,Any,Any,NCA,C0917000,GBH Solomon Saratoga National Cemetery,C09170000,GBH Solomon Saratoga National Cemetery,128711721-00,200 Duell Rd,
918,OHIO WESTERN RESERVE      VANC,Any,Any,NCA,C0918000,Ohio Western National Cemetery,C09180000,Ohio Western Reserve National Cemetery,442739750-00,10175 Rawiga Rd,
919,TAHOMA NATIONAL CEMETERY  VANC,Any,Any,NCA,C0919000,Tahoma National Cemetery,C09190000,Tahoma National Cemetery,980424868-00,18600 SE 240th St,
920,FORT SILL NATIONAL CEMETERY,Any,Any,NCA,C0844000,Fort Gibson National Cemetery,C09200000,Fort Sill National Cemetery,735383029-00,2648 NE Jake Dunn Rd,
921,SACRAMENTO VALLEYNATL CEM VANC,Any,Any,NCA,C0921000,Sacramento Valley National Cemetery,C09210000,Sacramento Valley National Cemetery,945534668-00,150 Muir Rd,
922,GEORGIA NATIONAL CEMETERY VANC,Any,Any,NCA,C0922000,Georgia National Cemetery,C09220000,Georgia National Cemetery,301147670-00,1080 Scott Hudgens Dr,
923,GREAT LAKES NATL CEM      VANC,Any,Any,NCA,C0923000,Great Lakes National Cemetery,C09230000,Great Lakes National Cemetery,484429444-00,4200 Belford Rd,
924,SOUTH FLORIDA NATL CEM    VANC,Any,Any,NCA,C0924000,South Florida National Cemetery,C09240000,South Florida National Cemetery,334495302-00,6501 S State Rd 7,
925,NATL CEM THE ALLEGHENIES  VANC,Any,Any,NCA,C0925000,National Cemetery of the Alleghenies,C09250000,National Cemetery of the Alleghenies,150171042-00,1158 Morgan Rd,
926,WASHINGTON CROSS NATL CEM VANC,Any,Any,NCA,C0926000,Washington Crossing National Cemetery,C09260000,Washington Crossing National Cemetery,189402902-00,830 Highland Rd,
927,ALABAMA NATIONAL CEMETERY VANC,Any,Any,NCA,C0927000,Alabama National Cemetery,C09270000,Alabama National Cemetery,351158632-00,3133 Highway 119,
928,JACKSONVILLE NATL CEM     VANC,Any,Any,NCA,C0928000,Jacksonville National Cemetery,C09280000,Jacksonville National Cemetery,322181247-00,4083 Lannie Rd,
929,BAKERSFIELD NATL CEM      VANC,Any,Any,NCA,C0929000,Bakersfield National Cemetery,C09290000,Bakersfield National Cemetery,932030000-00,30338 E Bear Mountain Blvd,
930,FT. JACKSON NATL CEM,Any,Any,NCA,C0930000,Fort Jackson National Cemetery,C09300000,Fort Jackson National Cemetery,292298307-00,4170 Percival Rd,
931,SARASOTA NATIONAL CEM     VANC,Any,Any,NCA,C0931000,Sarasota National Cemetery,C09310000,Sarasota National Cemetery,342419574-00,9810 State Rd 72,
933,PIKES PEAK NATIONAL CEMETERY,Any,Any,NCA,C0933000,Pikes Peak National Cemetery,C09330000,Pikes Peak National Cemetery,809251122-00,10545 Drennan Rd,
934,CAPE CANAVERAL NATIONAL CEM,Any,Any,NCA,C0934000,Cape Canaveral National Cemetery,C09340000,Cape Canaveral National Cemetery,327544810-00,5525 Highway 1,
935,OMAHA NATIONAL CEMETERY,Any,Any,NCA,C0935000,Omaha National Cemetery,C09350000,Omaha National Cemetery,681384420-00,14250 Schram Rd,
936,BUFFALO NATIONAL CEMETERY,Any,Any,NCA,C0936000,Buffalo National Cemetery,C09360000,Buffalo National Cemetery,140369738-00,1254 Indian Falls Road,
937,TALLAHASSE NATIONAL CEMETERY,Any,Any,NCA,C0937000,Tallahassee National Cemetery,C09370000,Tallahassee National Cemetery,323113416-00,5015 Apalachee Pkwy,
938,YELLOWSTONE NATIONAL CEMETERY,Any,Any,NCA,C0888000,Fort Logan National Cemetery,C09380000,Yellowstone National Cemetery,590449492-00,55 Buffalo Trail Rd,
941,TWIN FALLS NATIONAL CEMETERY,Any,Any,NCA,C0941000,Snake River Canyon National Cemetery,C09410000,Snake River Canyon National Cemetery,204200001-00,810 Vermont Ave NW,
942,CEDAR CITY RURAL NATIONAL CEM,Any,Any,NCA,C0942000,Cedar City Rural National Cemetery,C09420000,Cedar City Rural National Cemetery,204200001-00,810 Vermont Ave NW,
943,ELKO RURAL NATIONAL CEMETERY,Any,Any,NCA,C0943000,Elko Rural National Cemetery,C09430000,Elko Rural National Cemetery,204200001-00,810 Vermont Ave NW,
944,MACHAIS NATIONAL CEMETERY,Any,Any,NCA,C0818000,Massachusetts National Cemetery,C09440000,Machias National Cemetery,046480000-00,Nat Vet Burial Lot5 Rnge1,
945,CHEYENNE NATIONAL CEMETERY,Any,Any,NCA,C0945000,Cheyenne National Cemetery,C09450000,Cheyenne National Cemetery,204200001-00,810 Vermont Ave NW,
946,ALAMEDA NATIONAL CEMETERY,Any,Any,NCA,C0895000,Golden Gate National Cemetery,C09460000,Alameda National Cemetery,945017140-00,351 Corpus Christi Rd,
947,ST ALBANS COLUMBARIUM CEMETERY,Any,Any,NCA,C0815000,Long Island National Cemetery,C09470000,St Albans National Cemetery,114250001-00,179-00 Linden Blvd & 179th St,
948,Indianapolis Columbarium Cemetery,Any,Any,NCA,C0810000,Dayton National Cemetery,C09480000,Indianapolis Columbarium Cemetery,204200001-00,810 Vermont Ave NW,
950,Chicago Columbarium Cemetery,Any,Any,NCA,C0915000,Abraham Lincoln National Cemetery,C09500000,Chicago Columbarium Cemetery,204200001-00,810 Vermont Ave NW,
951,FORT LAWTON NATIONAL CEMETERY  VANC,Any,Any,NCA,C0919000,Tahoma National Cemetery,C09510000,Fort Lawton National Cemetery,204200001-00,810 Vermont Ave NW,
952,FORT MISSOULA NATL CEMETERY  VANC,Any,Any,NCA,C0888000,Fort Logan National Cemetery,C09520000,Fort Missoula National Cemetery,204200001-00,810 Vermont Ave NW,
953,FORT SHERIDAN NATL CEM   VANC,Any,Any,NCA,C0915000,Abraham Lincoln National Cemetery,C09530000,Fort Sheridan National Cemetery,204200001-00,810 Vermont Ave NW,
954,VANCOUVER BARRACKS NATL CEMETERY  VANC,Any,Any,NCA,C0907000,Willamette National Cemetery,C09540000,Vancouver Barracks National Cemetery,204200001-00,810 Vermont Ave NW,
955,FORT MCCLELLAN POST CEM   VANC,Any,Any,NCA,C0927000,Alabama National Cemetery,C09550000,Fort McClellan Post National Cemetery,204200001-00,810 Vermont Ave NW,
956,FORT MCCLELLAN POW CEM   VANC,Any,Any,NCA,C0927000,Alabama National Cemetery,C09560000,Fort McClellan POW National Cemetery,204200001-00,810 Vermont Ave NW,
957,FORT DOUGLAS NATL CEMETERY  VANC,Any,Any,NCA,C0888000,Fort Logan National Cemetery,C09570000,Fort Douglas National Cemetery,204200001-00,810 Vermont Ave NW,
958,FORT WORDEN NATIONAL CEMETERY  VANC,Any,Any,NCA,C0919000,Tahoma National Cemetery,C09580000,Fort Worden National Cemetery,204200001-00,810 Vermont Ave NW,
959,FORT STEVENS NATL CEMETERY  VANC,Any,Any,NCA,C0907000,Willamette National Cemetery,C09590000,Fort Stevens National Cemetery,204200001-00,810 Vermont Ave NW,
960,FORT DEVENS NATL CEM    VANC,Any,Any,NCA,C0818000,Massachusetts National Cemetery,C09600000,Fort Devens National Cemetery,204200001-00,810 Vermont Ave NW,
