FMS_BOC,FMS_SUB_BOC,FMS_BOC_NAME,IFAMS_BOC,IFAMS_BOC_NAME,LOAD_DATE
2504,,VBA VRE CH31 CNTRCT CNSEL(GOE),251114,CHAPTER 31 CONTRACT COUNSELING (GOE) (VBA),
2505,,VBA CH31 REHABILITATN SVC(GOE),251115,CHAPTER 31 REHABILITATION SERVICES (GOE) (VBA),
2506,,VBA CH31-EMPLOYMNT SVC (GOE),251116,CHAPTER 31 EMPLOYMENT SERVICE COUNSELING (GOE) (VBA),
2507,,IT VIDEOCONFERENCING MAINTENAN,257205,IT VIDEOCONFERENCING MAINTENANCE,
2508,,DECLARED EMERGENCY INFO TECH,257299,DECLARED EMERGENCY IT SUPPORT AND BACKUP,
2509,,IT COMPUTER WORK STAT MNT,257201,IT COMPUTER WORKSTATION MAINTENANCE,
2510,,INFORMATION TECH SUPPT SVCSFED,251301,INFORMATION TECHNOLOGY SUPPORT SERVICES,
2511,,IT HOSTING SERVICES,257301,IT HOSTING SERVICES,
2513,,IT COMPUTER SERVER/SYSMNT,257202,IT COMPUTER SERVER/SYSTEM MAINTENANCE,
2514,,ADVISORY & ASSISTANCE CONTRACT,251101,ADVISORY & ASSISTANCE CONTRACT,
2515,,SYSTEM ANA&PROGSPTINTERNAL,251302,SYSTEM TECH SUPP SERVICES FOR INTERNALLY DEVELOPED SOFTWARE,
2516,,SVCS-OTH-SUPPLY FUND-1 VA+FUND,253501,SERVICES OTHER SUPPLY FUND ONE VA + FUND PROGRAM,
2517,,INFO RESOURCES STUDIES (COMM),251201,STUDIES & ANALYSIS,
2518,,S&R OUTSOURCE PGM-SUPPLY ONLY,257402,SERVICE & RECLAMATION OUTSOURCE PROGRAM (SUPPLY FUND),
2520,,REPAIR OF FURNITURE AND EQUIP,257401,REPAIR OF FURNITURE & EQUIPMENT,
2521,,INTEREST BACK PAY,420111,INTEREST BACK PAY,
2523,,FEE BASIC PURC CARD PMT,253304,FEE BASIS PURC CARD PMT,
2526,,STOR HH GOODS - AFTER 30 DAYS,257102,STORAGE OF HOUSEHOLD GOODS (AFTER 30 DAYS) (FSC),
2527,,DEC EMER INT REP AND REFURBIS,257499,DEC EMER INT REP AND REFURBIS ,
2528,,DHS SECURITY SERVICES,253201,DEPARTMENT OF HOMELAND SECURITY - SECURITY SERVICES,
2529,,GOODS-OTHER-SUPPLY FUND 1VA+,253502,GOODS-OTHER-SUPPLY FUND ONE VA+,
2530,,STOR HH GOODS - FIRST 30 DAYS,257101,STORAGE OF HOUSEHOLD GOODS (FIRST 30 DAYS) (FSC),
2532,,SP GSA SVC ABOVE BASIC SLUC CH,253401,SPECIAL SERVICES PROVIDED BY GSA ABOVE SLUC,
2533,,LGY LIQUIDATION EXPENSE-VBA,253101,RENTAL PROPERTY - OTHER FEDERAL AGENCY (VBA),
2535,,INTERIOR DECORATING SERVICES,254203,INTERIOR DECORATING SERVICES,
2536,,DEC EMERG BURIAL UNCLAIM BODY,251199,DECLARED EMERGENCY BURIAL COSTS-UNCLAIMED BODIES,
2537,,DEC EMERG NON-CLINICAL SVC,256198,DEC EMERG NON-CLINICAL SVC,
2538,,DEC EMERGENCY CLINICAL SVC,256199,DEC EMERGENCY CLINICAL SVC ,
2539,,GENERAL COSTS ON REO PROPERITI,254202,GENERAL COST ON REO PROPERTIES (VBA),
2540,,LAUNDRY AND DRYCLEANING SERVIC,254204,LAUNDRY & DRY-CLEANING SERVICES,
2541,,LGY INCENTIVE PMTS (VBA ONLY),251107,LOAN GUARANTY INCENTIVE PAYMENTS (VBA),
2542,,CLEANING&JANTORL SVC/BLDGS&OTH,254201,CLEANING & JANITORIAL SERVICES FOR BUILDINGS AND OTHER ITEMS,
2543,,RECURRNG MAINTNC & REPAIR SVC,254205,RECURRING MAINTENANCE & REPAIR SERVICES,
2544,,MOBILE COMPUTING DEV MNT,257206,MOBILE COMPUTING DEVICES MAINTENANCE,
2545,,TAXES ON REO PROPERTIES,410401,TAXES ON REO PROPERTIES (VBA),
2546,,REO WITHDRAWN PROPERTIES,251110,REO WITHDRAWN PROPERTIES (VBA),
2547,,SOLID ORGAN PROCUREMENT,256101,SOLID ORGAN PROCUREMENT,
2548,,UTILITY PLANT OPERATIONS,254101,UTILITY PLANT OPERATIONS,
2549,,ROADS AND GROUNDS MAINTENANCE,254206,ROADS AND GROUNDS MAINTENANCE,
2550,,LOAN SALES DISCOUNTS,330105,LOAN SALES DISCOUNTS (VBA),
2551,,PROSTHETIC REPAIR SERVICES,256102,PROSTHETIC REPAIR SERVICES,
2552,,PROSTHETIC CONTRACTUAL SVC,256103,PROSTHETIC CONTRACTUAL SERVICES,
2553,,MISC CONTR SVC FOR INDIGENT VE,256104,MISCELLANEOUS CONTR SERVICE FOR INDIGENT VETERANS,
2555,,CONTRACTS ASSOCIATED TRAINING,251105,CONTRACTUAL SERVICES FOR TRAINING,
2556,,REO SALES COSTS,251109,REO SALES COSTS (VBA),
2557,,REIMB FOR MEDCARE,256105,REIMBURSEMENT FOR MEDICAL CARE,
2558,,GEN EXP-NOT TIED TO LOAN-VBA,251111,REO GENERAL EXPENSES - NOT TIED TO LOAN (VBA),
2560,,MED CARE CONTRACTS & AGREEMENT,256106,MEDICAL CARE CONTRACTS & AGREEMENTS,
2561,,FEE BASIS - MED & NURSING SVC,256107,FEE BASIS - MEDICAL & NURSING SERVICES,
2562,,OFF-STATION FEE MED & NRSING,256108,OFF- STATION FEE MEDICAL & NURSING,
2563,,ENHANCED SHARING NURSING,256109,ENHANCED SHARING NURSING,
2564,,FEE BASIS NURSING STN ONLY,256110,FEE BASIS - NURSING STATION ONLY,
2565,,AUDIT RECOVERY TRANSACTIONS,251102,AUDIT RECOVERY TRANSACTIONS,
2566,,FEE BASIS NON PHY&NURS STN USE,256111,FEE BASIS - NON-PHYSICIAN & NURSING STATION USE,
2567,,ENHANCED SHARING OTH HLTH CARE,256112,ENHANCED SHARING OTHER HEALTH CARE,
2568,,ENHANCED SHARING SPACE,256113,ENHANCED SHARING SPACE,
2569,,EMERGENCY TREATMENT OF VETERAN,256114,EMERGENCY TREATMENT OF VETERANS,
2570,,OFF-STATION FEE DENTAL SERVICE,256115,OFF-STATION FEE DENTAL SERVICES,
2571,,ON STA FEE DENTAL SERVICE,256116,ON-STATION FEE DENTAL SERVICES,
2572,,SVC PURCH OR SOLD -VHS&RA SCRC,253301,SERVICES BY A VHA SPECIAL CLINICAL RESOURCE CENTER,
2573,,SVC PUR/SOLD SPCL -VHA RES CTR,253302,SERVICES BY A VHA SPECIAL ADMINISTRATIVE RESOURCE CENTER,
2574,,HOME OXYGEN-CONTRCTL AGREEMTS,256117,HOME OXYGEN-CONTRACTUAL AGREEMENTS,
2575,,OTHER CONTRACT HOSPITALIZATION,256118,OTHER CONTRACT HOSPITALIZATION,
2576,,CONSULTANTS AND ATTENDINGS,256119,CONSULTANTS AND ATTENDINGS,
2579,,SCARCE MEDICAL SPECIALIST CONT,256120,SCARCE MEDICAL SPECIALIST CONTRACTS,
2580,,NON-MED CONTRACT & AGREEMENTS,252103,NON-MEDICAL - INSTITUTIONS & ORGANIZATIONS,
2581,,CONTRACTS & AGRMTS-INDIVIDUALS,252102,NON-MEDICAL - INDIVDUALS FOR PERSONAL SERVICES,
2582,,INCENTIVE THERAPY,256121,INCENTIVE THERAPY,
2583,,CONT & AGRMT-TUIT & REG (GOVT),251103,TUITION & REGISTRATION WITHIN THE GOVERNMENT,
2584,,CONT & AGRMT-TUIT & REG (COMM),251104,TUITION & REGISTRATION OUTSIDE THE GOVERNMENT,
2585,,COLLEGE WORK-STUDY PROGRAM,252104,COLLEGE WORK-STUDY PROGRAM,
2586,,SHARING MED RESOURCE-38USC5051,256123,ENHANCED SHARING MEDICAL RESOURCES,
2587,,HOUSE STAFF CONTRACTS,256124,HOUSE STAFF CONTRACTS,
2588,,LGY TAX SCRUB FEES,251108,LOAN GUARANTY SCRUB CHARGES (VBA),
2589,,COMPENSATED WORK THERAPY,256122,COMPENSATED WORK THERAPY,
2590,,VA/DOD SHARING AGRMT-38USC5011,256125,VA/DOD SHARING AGREEMEMT,
2591,,ENHANCED SHARING NONVA PHYSIAN,256126,ENHANCED SHARING NON-VA PHYSICIANS,
2592,,ENHANCED SHARING CLINICAL,256127,ENHANCED SHARING CLINICAL,
2593,,OFFSET/COLLECTION FEE,253303,TREASURY OFFSET PROGRAM/ COLLECTION FEE,
2594,,C & P MEDICAL EXAMINATIONS,256128,C&P MEDICAL EXAMINATIONS,
2595,,ED & TRNG RPTG ALLW 38USC3684,252105,EDUCATION & TRAINING REPORTING ALLOWANCES (VBA),
2596,,CONTRACT & STATE APP AGENCIES,252106,STATE APPROVAL AGENCIES (VBA),
2597,,BURIAL COSTS-UNCLAIMED BODIES,251106,BURIAL COSTS-UNCLAIMED BODIES,
2598,,CONTRACT HOSP & OUTPATIENT TRT,256129,CONTRACT HOSPITALS & OUTPATIENT TREATMENT,
2610,,FOOD,260801,FOOD,
2620,,OFFICE SUPPLIES,260101,OFFICE SUPPLIES,
2623,,RECORDING MEDIA,260303,RECORDING MEDIA ,
2625,,"MEDICAL, IT SUPPLIES IC&MAT",260301,IT SUPPLIES,
2631,,DRUGS / MEDICINES,260501,DRUGS AND MEDICINES,
2632,,OTH MEDICAL AND DENTAL SUPPLY,260511,GENERAL MEDICAL SUPPLIES,
2633,,CHEMICAL SUPPLIES,260502,CHEMICAL SUPPLIES (LABORATORY SUPPLIES),
2635,,BLOOD AND BLOOD PRODUCTS,260503,BLOOD AND BLOOD PRODUCTS,
2636,,PRESCRIPTIONS,260504,NON-VA PHARMACY PRESCRIPTIONS,
2637,,DEC EMERGENCY HUMANITARIAN SU,260599,DECLARED EMERGENCY HUMANITARIAN SUPPLIES,
2645,,"BOOKS,PERIODICALS & NEWSPAPERS",260201,"BOOKS, PERIODICALS, AND NEWSPAPERS",
2647,,AUDIOVISUAL SOFTWARE,260304,AUDIOVISUAL SOFTWARE,
2650,,FUEL OIL (HEATING/DIESEL),260601,FUEL OIL (HEATING/DIESEL),
2651,,COAL,260602,COAL,
2652,,LIQ PETROLEUM GAS/PROPANE,260603,LIQ PETROLEUM GAS/PROPANE,
2654,,FUEL - FLEET VEHICLES ONLY,260604,FUEL FOR FLEET VEHICLES ONLY,
2655,,AUTO GASOLINE - NON FLEET VEH,260605,AUTO GASOLINE - NON-FLEET VEHICLES & OTHER EQUIPMENT,
2656,,LIQ PETROLEUM GAS -NON FLEET,260606,LPG/PROPANE - NON-FLEET VEHICLES & OTHER EQUIPMENT,
2657,,DIESEL/DISTILLATE NON FLEET,260607,DIESEL/DISTILLATE - NON-FLEET VEHICLES & OTHER EQUIPMENT,
2658,,OTHER NON-RENEWABLE FUEL NF,260608,OTHER NON-FLEET VEHICLES & OTHER EQUIPMENT,
2659,,RENEWABLE FUEL NON FLEET,260609,RENEWABLE/CLEAN FUEL NON FLEET,
2660,,OPERATING SUPPLIES AND MATERIA,260401,OPERATING SUPPLIES AND MATERIALS,
2665,,LINEN ITEMS,260505,LINEN ITEMS,
2666,,EMPLOYEE UNIF & PROT CLOTHING,260701,EMPLOYEE UNIFORMS AND PROTECTIVE CLOTHING,
2670,,MAINT SUPPLIES AND MATERIALS,261101,FACILITY MANAGEMENT SUPPLIES,
2674,,OXYGEN EQUIPMENT AND SUPPLIES,260506,OXYGEN EQUIPMENT AND SUPPLIES,
2690,,"S&R REPAIR PARTS, INV.",261102,SERVICE AND RECLAMATION REPAIR PARTS INVENTORY (SUPPLY FUND),
