FMS_RSC,FMS_RSC_NAME,IFAMS_REVENUE_SOURCE_CODE,IFAMS_REVENUE_SOURCE_CODE_NAME,LOAD_DATE
A477,RSC ENHANCE SHARING AGREEMENT,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A480,T-MOBILE CELL SVC,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A482,KCRG CEDAR RAPIDS TV,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A483,LANDIS GYR D/K/A CELLNET,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A485,SPRINT SPECTRUM ROOFTOP ANTENN,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A486,UNIVERSITY OF SYRACUSE PARKING,A00N04,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
A487,FT. BENNING PRIMARY CARE CLINI,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A488,CINGULAR ROOFTOP ANTENNA,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A489,CINGULAR ROOFTOP ANTENNA,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A491,SPRINT ROOFTOP ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A492,3Q LAB LEASE,A00N01,Non-Reimbursable-Lab(s) Enhanced Sharing Asset Revenue,
A493,DEPT. OF THE NAVY,A00N06,Non-Reimbursable-Vacant Land Enhanced Sharing Asset Revenue,
A496,ATT WIRELESS,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A499,ANTENNAS T-MOBILE,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A500,ANTENNAS NEW CINGULAR WIRELESS,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A509,AT&T ANTENNA AGREEMENT,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A511,VERIZON WIRELESS ANTENNA AGREE,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A513,NTELOS INC.,A00R05,Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A514,UP STATE CREDIT UNION,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A519,T-MOBILE ANTENNA AGREEMENT,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A520,FRIENDSHIP UNITED METHODIST,A00N04,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
A521,VERIZON,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A522,SPRINT ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A523,FAIRFIELD/TRAVIS AFB OPC,A00R02,Reimbursable-Office Enhanced Sharing Asset Revenue,
A524,POPLAR BLUFF REALTY,A00N04,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
A526,VERIZON CELL TOWER,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A527,SPRINT ANTENNA,A00N05,Non-Reimbursable-Rooftop Enhanced Sharing Asset Revenue,
A528,T- MOBILE LAND USE,A00N06,Non-Reimbursable-Vacant Land Enhanced Sharing Asset Revenue,
A529,PROJECT COMMUNITY CONNECTION,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A530,MARY HALL FREEDOM HOUSE,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A531,HOPE ATL,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A532,GA DEPT. OF VET. SVCS.,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A533,DECATUR COOPERATIVE MINISTRY,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A534,ACTION MINISTRIES,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
A535,UNITED WAY OF GREATER ATLANTA,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A536,RECOVERY CONSULTANTS OF ATL,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A538,ATLANTA LEGAL AID,A00N02,Non-Reimbursable-Office Enhanced Sharing Asset Revenue,
A539,USC SCHOOL OF MED. LAB SHARE,A00R01,Reimbursable-Lab(s) Enhanced Sharing Asset Revenue,
A540,FORT BELVOIR CBOC,A00N03,Non-Reimbursable-Other Enhanced Sharing Asset Revenue,
ANCL,MISC RECEIPT-ANNUAL CLOSE,920N10,Non-Reimbursable-Misc. Receipt-Annual Close,
AR12,AR-CONVERSION,940N01,AR-12 Conversion,
ARRV,REVENUE-AR,920N05,Non-Reimbursable-Revenue-AR,
CANT,CANTEEN INTERFACE,940R02,Reimbursable-Canteen Interface,
CNV1,CONVERSION-ACT REIMB,940R03,Conversion-Act Reimbursable ,
CONV,CONVERSION,940N04,Conversion,
DD01,COMMODITIES COST,SF0N05,Non-Reimbursable-Other Commodities Revenue,
DD02,COMMODITIES MARKUP,SM0N05,Non-Reimbursable-Other Commodities Mark Up Revenue,
DD03,CUSTOM HEARING COSTS,SF0N02,Non-Reimbursable-Hearing Aid Commodities Revenue,
DD04,CUSTOM HEAR MARKUP,SM0N02,Non-Reimbursable-Hearing Aid Mark Up Revenue,
DD05,HEARING AID REPAIRS,SR0N01,Non-Reimbursable-Maintenance and Repairs Fee Revenue,
DD06,TELEHEALTH SVC FEES,SR0N03,Non-Reimbursable-Telehealth Service Fee Revenue,
E100,863 - CONVERSION,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E103,COMMERCIAL,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E104,COLLOCATION,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E106,COLLOCATION,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E108,SINGLE RESIDENCE OCCUPANCY,E00N02,Non-Reimb-Outdoor Rec Faclty Enhance -Use Lease Assets Rev,
E110,PARKING,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E113,ENHANCE USE LEASE,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E115,CHILD DEVELOPMENT CENTER,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E116,MIXED USE/RESEARCH,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E117,COLLOCATION,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E118,HOSPICE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E120,PUBLIC SAFETY CENTER,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E121,MEDICAL SCHOOL,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E122,ENERGY CENTER,E00N08,Non-Reimbursable-Energy Cost Saving-Use Lease Assets Revenue,
E124,CONSOLIDATION,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E126,SENIOR HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E127,ENERGY CENTER,E00N08,Non-Reimbursable-Energy Cost Saving-Use Lease Assets Revenue,
E129,SINGLE RESIDENCE OCCUPANCY,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E131,ENERGY CENTER,E00R08,Reimbursable-Energy Cost Saving-Use Lease Assets Revenue,
E133,RESIDENTIAL HEALTH CARE,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E136,CHILD DEVELOPMENT CENTER,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E137,ENHANCE USE LEASE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E138,SINGLE RESIDENCE OCCUPANCY,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E139,SINGLE RESIDENCE OCCUPANCY,E00R03,Reimbursable-Residential Enhanced -Use Lease Assets Revenue,
E140,HOMELESS HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E143,CREDIT UNION,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E144,PARKING,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E145,GOLF COURSE,E00R02,Reimb-Outdoor Rec Faclty Enhance -Use Lease Assets Rev,
E146,HOMELESS HOUSING,E00R04,Reimbursable-Vacant Land Enhanced -Use Lease Assets Revenue,
E147,ADAPTIVE REUSE STORAGE FALTY,E00N05,Non-Reimbursable-Warehouse Enhanced-Use Lease Assets Revenue,
E148,101 - ENHANCE USE LEASE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E149,NEW RO AND PARKING STRUCTURE,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E150,CHILDCARE CENTER,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E151,MVHO,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E156,MUSC PARTNERSHIP (LAND SWAP),E00N04,Non-Reimb-Vacant Land Enhanced-Use Lease Assets Revenue,
E157,ASSISTED LIVING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E159,HOMELESS HOUSING,E00R03,Reimbursable-Residential Enhanced -Use Lease Assets Revenue,
E163,HOMELESS HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E165,528 ASSISTED LIVNG BATAVIA,E00N04,Non-Reimb-Vacant Land Enhanced-Use Lease Assets Revenue,
E166,580 HEALTH CARE USE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E169,ASSISTED LIVING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E177,632 - ENHANCE USE LEASE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E178,529 - ENHANCE USE LEASE,E00N01,Non-Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E184,512 - ENHANCE USE LEASE,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E185,544 - ENHANCE USE LEASE,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E189,552 - ENHANCE USE LEASE,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E190,552 - ENHANCE USE LEASE,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E209,660 - ENHANSE USE LEASE,E00R01,Reimbursable-Office Enhanced -Use Lease Assets Revenue,
E212,VIERA ASSISTED LIVING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E226,VALLEY BROOK VILLAGE EU,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E239,CHILLICOTHE EU,E00N02,Non-Reimb-Outdoor Rec Faclty Enhance -Use Lease Assets Rev,
E240,VOLUNTEERS OF AMERICA,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E241,691 - ENHANCE USE LEASE,E00R03,Reimbursable-Residential Enhanced -Use Lease Assets Revenue,
E242,528 - ENHANCE USE LEASE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E244,CHILLICOTHE VETERANS RESIDENCE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E245,CADENCE SQUARE,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E247,CBVA MINNEAPOLIS LIMITED PARTN,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E248,CATHOLIC CHARITIES HOMELESS,E00R03,Reimbursable-Residential Enhanced -Use Lease Assets Revenue,
E249,HOMELESS VETERAN HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E250,LINCOLN SUPPORTIVE HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E251,VANCOUVER VETERAN HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E252,BEDFORD VETERAN HOUSING,E00N04,Non-Reimb-Vacant Land Enhanced-Use Lease Assets Revenue,
E253,GREATER LA HCS EUL,E00R03,Reimbursable-Residential Enhanced -Use Lease Assets Revenue,
E254,CABIN IN THE WOODS,E00N02,Non-Reimb-Outdoor Rec Faclty Enhance -Use Lease Assets Rev,
E255,HOMELESS VETERAN HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E256,WILLOW CREEK HOMELESS EU,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E257,MEMPHIS CHILD ADVOCACY CENTER,E00N07,Non-Reimbursable-Parking Enhanced Sharing Asset Revenue,
E258,DANVILLE SUPPORTIVE HOUSING,E00N04,Non-Reimb-Vacant Land Enhanced-Use Lease Assets Revenue,
E259,GRAND ISLAND PERMANENT HOUSING,E00N03,Non-Reimb-Residential Enhanced -Use Lease Assets Revenue,
E260,PERMANENT & TRANSITION HOUSING,E00R03,Reimbursable-Residential Enhanced -Use Lease Assets Revenue,
E261,ST CLOUD II AFFORDABLE HOUSING,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E262,NATIONAL SOLDIERS HOME EUL,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
E900,RSC ENHANCE USE LEASE REIMB,E00N06,Non-Reimbursable-Other Enhanced -Use Lease Assets Revenue,
IT01,RECYCLING INCOM - OI&T,920N06,Non-Reimbursable-Recycling Income - OI&T,
JURY,JURY FEES COLLECTED,900N05,Non-Reimbursable-Jury Fees Collected,
PAID,PAID-INTERFACE SV,940R05,Reimbursable-Paid-Interface,
SF04,PHARMACEUTICALS,SF0N03,Non-Reimbursable-Pharmaceuticals Commodities Revenue,
SF05,BURIAL FLAGS,SF0N01,Non-Reimbursable-Burial Flag Commodities Revenue,
SF08,PRINTING & REPROGRAPHICS,SF0N06,Non-Reimb-Printing of Publications and Forms Commodities Rev,
SF11,CONTRACT FEES - OGA,SR0N02,Non-Reimbursable-Contract Fee Revenue,
SF14,RENTAL INCOME,SR0N05,Non-Reimbursable-Rental Income Fee Revenue,
SF15,OGA SURCHARGE,SR0N04,Non-Reimbursable-Other Fee Revenue,
SF17,AUDIT RECOVERIES,SR0N07,Non-Reimbursable-Audit Recoveries Fee Revenue,
SF18,AGGREGATE DISCOUNTS,SR0N06,Non-Reimbursable-Aggregate Discounts Fee Revenue,
SF40,DIRECT DELIVERY PROGRAM,SF0N04,Non-Reimb-Equipment Direct Delivery Commodities Revenue,
SF46,LOCAL CAP LEASE-SALE,SF0N07,Non-Reimb-Sale of Equip. via Capital Lease Commodities Rev,
SF47,LOCAL CAP LEASE-INTEREST,SF0N07,Non-Reimb-Sale of Equip. via Capital Lease Commodities Rev,
SF49,"SERVICE CHARGE, CAP.LEASE OGA",SF0N09,Non-Reimb-Service Charge(OGA Capital Leases)Commodities Rev,
SF60,S&F ORDINARY REPAIRS,SF0N10,Non-Reimbursable-S&R Ordinary Repairs Commodities Revenue,
SF84,VA TUITION FOR VAAA,SR0N08,Non-Reimbursable-Tuition Fee Revenue,
SF85,OGA TUITION FOR VAAA,SR0N08,Non-Reimbursable-Tuition Fee Revenue,
SF90,1VA + FUND,SF0N05,Non-Reimbursable-Other Commodities Revenue,
SF99,MISC SUPPLY FUND REVENUE,SF0N05,Non-Reimbursable-Other Commodities Revenue,
SM04,PHARMECEUTICALS MARKUP-SF,SM0N03,Non-Reimbursable-Pharmaceuticals Mark Up Revenue,
SM05,FLAG MARKUP-SF,SM0N01,Non-Reimbursable-Burial Flag Mark Up Revenue,
SM08,PRINT/REPROG MARKUP-SF,SM0N06,Non-Reimb-Printing of Publications and Forms Mark Up Rev,
SM40,DIRECT DELIVERY MARKUP-SF,SM0N04,Non-Reimbursable-Equipment Direct Delivery Mark Up Revenue,
SM46,LOCAL CAP LEASE-MARKUP,SM0N07,Non-Reimb-Sale of Equip. via Capital Lease Commodities Rev,
SM48,INC. VALUATION CAP.LEASE OGA,SM0N07,Non-Reimb-Sale of Equip. via Capital Lease Commodities Rev,
U001,VETERANS OF FOREIGN WARS AUX,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U002,VETERANS OF FOREIGN WARS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U003,VISUALLY IMPAIRED VETERANS,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U005,SPRINT ANTENNA,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U006,TMOBILE ANTENNA,U00N01,Non-Reimbursable-Rooftop Out- Leased Assets Revenue,
U007,FAL VETERANS GOLF COURSE,U00N04,Non-Reimb-Outdoor Rec Facilities Out- Leased Assets Revenue,
U008,ST MARKS LICENSE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U009,DEMOPOLIS WHITFIELD,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U010,NMMC HAMILTON,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U011,PACKARD BUILDING HOMELESS PRG,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U012,Tranquility Country Inc Agricultural Outlease,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U013,SHELBYVILLE VA CLINIC,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U015,LITTLE EAGLE CHILD CARE,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U016,RESA HEAD START PROGRAME,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U017,HBPC AGREEMENT,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U018,CONGRESSIONAL OFFICE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U019,MEMPHIS PARKING MBCC PARKING,U00R05,Reimbursable-Parking Out- Leased Assets Revenue,
U020,UP STATE CREDIT UNION,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U023,VOLUNTEERS OF AMERICA (VOA),U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U025,MILL SPRINGS OUTLEASE,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U026,JACKSONVILLE OUTLEASE II,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U027,JEFFERSON CITY LODGE,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
U028,HINES CHILD CARE CENTER,U00N08,Non-Reimbursable-Miscellaneous Out- Leased Assets Revenue,
U029,Schmigel Agricultural Lease,U00N06,Non-Reimbursable-Vacant Land Out- Leased Assets Revenue,
U030,FINANCIAL PARTNER CREDIT UNION,U00N03,Non-Reimbursable-Office Out- Leased Assets Revenue,
